Salary,Hits,Walks,PutOuts,CHits
475,81,39,632,835
480,130,76,880,457
500,141,37,200,1575
91.5,87,30,805,101
750,169,35,282,1133
70,37,21,76,42
100,73,7,121,108
75,81,8,143,86
1100,92,65,0,1332
517.143,159,59,238,1300
512.5,53,27,304,467
550,113,47,211,392
700,60,22,121,510
240,43,30,80,825
775,158,73,105,2273
175,46,15,102,102
135,32,14,202,180
100,92,65,280,92
115,109,62,361,109
600,116,74,518,489
776.667,168,40,1067,2464
765,163,70,434,747
708.333,73,22,222,491
750,129,40,732,604
625,152,81,262,633
900,137,90,267,1382
110,108,22,226,149
612.5,168,56,109,452
300,49,12,419,308
850,106,30,72,1906
90,60,15,442,78
67.5,41,33,326,50
180,46,9,307,160
305,68,22,359,236
215,132,33,73,273
247.5,57,9,58,192
815,146,84,303,715
875,101,22,389,1767
70,53,23,109,59
1200,168,39,67,1307
675,101,39,316,1429
415,102,20,161,231
340,58,35,142,333
416.667,78,12,106,968
1350,177,70,240,927
90,113,16,203,113
275,44,15,53,1634
230,56,11,125,270
225,53,22,73,210
950,139,62,0,1982
75,53,21,152,120
105,142,45,107,205
320,81,26,153,2198
850,131,52,119,1397
535,122,91,808,1947
933.333,137,97,280,1785
850,119,13,224,1046
210,97,39,226,353
325,103,39,182,555
275,96,23,104,290
450,70,43,51,1661
1975,238,53,1377,737
1900,163,75,303,1388
600,83,56,276,948
1041.667,174,56,278,2024
110,82,47,148,113
260,41,22,165,1338
475,114,48,246,298
431.5,83,16,533,405
1220,123,72,226,471
70,78,32,45,78
145,138,61,157,164
595,119,36,59,594
1861.46,148,77,292,2083
300,115,68,274,184
490,110,36,292,544
2460,151,78,1045,1679
375,49,18,102,336
750,154,43,316,1583
1175,198,41,269,610
70,51,11,116,51
1500,128,80,97,2095
385,76,37,726,351
1925.571,125,62,869,1646
215,152,64,1253,260
900,171,52,118,728
155,118,30,228,187
700,77,26,144,1910
535,94,66,282,866
362.5,85,20,91,568
733.333,96,60,137,1972
200,77,41,83,2172
400,139,69,462,369
400,84,47,185,376
737.5,126,35,207,1578
500,78,29,670,453
600,120,31,237,900
662.5,158,42,331,636
950,169,38,295,1077
750,104,25,116,822
297.5,54,31,50,299
325,70,18,0,2081
87.5,99,29,278,129
175,39,15,138,151
90,40,18,97,125
1237.5,170,69,368,634
430,103,40,211,1193
100,103,71,276,103
165,144,65,319,173
250,200,32,241,404
1300,55,45,623,1213
773.333,133,55,237,2147
1008.333,132,41,885,671
275,39,22,33,543
775,183,32,231,715
850,136,26,304,1066
365,70,28,0,1130
95,41,19,28,68
110,86,45,102,86
100,95,20,158,808
277.5,147,47,92,730
80,102,34,211,167
600,94,26,161,1330
200,163,32,110,377
657,174,58,280,880
75,39,16,332,44
2412.5,200,62,330,2163
250,66,32,87,979
155,76,25,498,151
640,157,26,290,541
300,92,18,222,325
110,73,16,227,108
825,91,57,686,1397
195,101,61,249,218
450,47,18,49,890
630,184,38,303,462
86.5,58,22,88,58
1300,118,68,190,750
1000,150,35,96,1839
1800,171,94,1199,1840
1310,147,71,1218,815
737.5,74,22,145,1062
625,161,66,332,470
125,91,33,145,94
1043.333,159,53,181,880
725,136,83,65,970
300,85,88,0,214
365,223,34,429,587
75,64,30,107,64
1183.333,127,67,1231,844
202.5,127,58,283,187
225,70,27,156,1222
525,141,37,239,1240
265,52,21,235,191
787.5,149,64,371,928
800,84,38,483,1123
587.5,128,52,0,1552
145,92,21,0,185
420,157,63,276,1320
75,54,33,317,54
575,179,65,303,476
780,131,34,310,549
90,56,19,201,58
150,93,30,172,230
700,148,49,0,1000
550,131,33,233,398
650,65,27,259,698
68,54,12,102,54
100,71,36,468,76
670,77,27,149,516
175,120,54,103,259
137,60,18,358,170
2127.333,1,0,78,9
875,94,62,756,519
120,43,39,463,116
140,75,26,212,160
210,167,57,325,232
800,110,32,228,834
240,76,15,203,408
350,93,49,149,323
175,137,12,261,271
200,152,65,325,249
1940,144,79,229,1169
700,80,63,682,359
750,163,77,250,470
450,83,30,58,1543
172,135,55,157,135
1260,123,40,82,1203
750,52,30,523,4256
190,56,21,172,329
580,154,29,846,566
130,72,26,117,82
450,77,33,62,1358
300,96,39,167,344
250,56,15,391,665
1050,70,44,41,1845
215,108,72,286,142
400,68,45,659,939
560,110,46,251,658
1670,160,89,426,1182
487.5,101,92,0,2510
425,82,35,0,408
500,145,40,88,1102
250,76,13,44,234
400,52,17,155,1323
450,90,43,60,614
750,135,52,367,895
70,68,24,86,68
875,119,21,155,882
190,27,5,190,49
191,68,61,181,238
740,178,46,309,902
250,86,36,203,267
140,57,18,42,170
97.5,101,22,200,101
740,113,68,0,1369
140,149,42,255,149
341.667,63,16,135,667
1000,163,62,352,2019
100,117,43,1236,412
90,66,13,281,80
200,140,60,1320,185
135,112,35,111,160
155,145,21,320,210
475,159,47,196,426
1450,142,23,1160,2583
150,96,65,229,148
105,103,52,289,123
350,122,51,209,403
90,210,59,367,872
530,169,53,351,841
341.667,76,20,106,657
940,152,53,315,686
350,213,27,294,448
326.667,103,54,209,493
250,70,30,81,220
740,211,52,337,770
425,68,29,92,339
925,141,73,352,874
185,120,21,70,227
920,4,1,692,4
286.667,43,20,131,219
245,47,24,299,256
235,61,3,178,1145
1150,147,53,810,821
160,138,34,133,357
425,113,76,160,397
900,42,15,65,1150
500,32,12,167,2402
277.5,69,32,133,355
750,112,44,94,771
160,139,60,300,309
1300,186,74,1182,753
525,81,37,170,566
550,124,36,186,506
1600,207,105,121,978
120,117,34,942,117
165,172,57,1222,172
700,127,37,325,806
875,136,94,313,1511
385,126,52,37,433
960,144,78,1314,857
1000,170,31,408,1457
